	species	length	width	Shape	reference	volume	surface
0	Campylobacter jejuni	1.118033988749895	1.118033988749895	sphere/spiral	Rodrigues, R.C., Pocheron, AL., Hernould, M. et al. Description of Campylobacter jejuni Bf, an atypical aero-tolerant strain. Gut Pathog 7, 30 (2015). https://doi.org/10.1186/s13099-015-0077-x	0.7317515344834091	3.926990816987242
1	Listeria monocytogenes	1.4142135623730951	1.0	rod	"Abdollah Jamshidi, Tayebeh Zeinali, ""Significance and Characteristics of Listeria monocytogenes in Poultry Products"", International Journal of Food Science, vol. 2019, Article ID 7835253, 7 pages, 2019. https://doi.org/10.1155/2019/7835253"	0.8489213467404422	4.442882938158366
2	Staphylococcus aureus	1.0	1.0	sphere	Monteiro, J. M., Fernandes, P. B., Vaz, F., Pereira, A. R., Tavares, A. C., Ferreira, M. T., Pereira, P. M., Veiga, H., Kuru, E., VanNieuwenhze, M. S., Brun, Y. V., Filipe, S. R., & Pinho, M. G. (2015). Cell shape dynamics during the staphylococcal cell cycle. Nature communications, 6, 8055. https://doi.org/10.1038/ncomms9055	0.5235987755982988	3.141592653589793
3	Streptococcus pneumoniae	0.7905694150420949	0.7905694150420949	sphere	Patterson MJ. Streptococcus. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 13. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7611/	0.2587132360884402	1.963495408493621
4	Campylobacter coli	0.31622776601683794	0.31622776601683794	sphere/rod	Lansing M. Prescott, John P. Harley, and Donald A. Klein, 2005. Campylobacter. Microbiology 6th Edition 430-433, 500.	0.016557647109660168	0.31415926535897937
5	Klebsiella pneumoniae	2.0	0.5	rod	Liu, L., Li, F., Xu, L., Wang, J., Li, M., Yuan, J., Wang, H., Yang, R., & Li, B. (2020). Cyclic AMP-CRP Modulates the Cell Morphology of Klebsiella pneumoniae in High-Glucose Environment. Frontiers in microbiology, 10, 2984. https://doi.org/10.3389/fmicb.2019.02984	0.35997415822383044	3.141592653589793
6	Mycobacterium tuberculosis	2.8284271247461903	0.31622776601683794	rod	Ufimtseva, E., Eremeeva, N.E., Vakhrusheva, D.V., & Skornyakov, S.N. (2019). Mycobacterium tuberculosis shape and size variations in alveolar macrophages of tuberculosis patients. Tuberculosis.	0.21386532335308825	2.809925892416291
7	Vibrio parahaemolyticus	1.833030277982336	0.6324555320336759	rod	Drake, S. L., DePaola, A., & Jaykus, L. A. (2007). Overview of Vibrio vulnificus and Vibrio parahaemolyticus. Comprehensive Reviews in Food Science and Food Safety, 6 , 120-145.	0.5096328570730556	3.6420802180984566
8	Vibrio cholerae	3.0740852297878796	0.3794733192202055	rod	Chatterjee, T., Chatterjee, B.K. & Chakrabarti, P. Modelling of growth kinetics of Vibrio cholerae in presence of gold nanoparticles: effect of size and morphology. Sci Rep 7, 9671 (2017). https://doi.org/10.1038/s41598-017-09357-0	0.33336504157603136	3.664772526228933
9	Neisseria meningitidis	0.9486832980505138	0.9486832980505138	sphere	Vazquez, J. (2006). SITUACIÓN ACTUAL DE LA EPIDEMIOLOGÍA DE LA ENFERMEDAD MENINGOCÓCICA. Programa Externo de Control de Calidad SEIMC. Volume 24, Supplement 1, October 2006, Pages 14-18	0.4470564719608244	2.827433388230814
10	Staphylococcus epidermidis	0.8660254037844386	0.8660254037844386	sphere	Chapter 3 - Supragingival Microbes. in (eds. Zhou, X. & Li, Y. B. T.-A. of O. M.) 41–65 (Academic Press, 2015). doi:https://doi.org/10.1016/B978-0-12-802234-4.00003-3.	0.34008738079391576	2.3561944901923444
11	Streptococcus pyogenes	0.7745966692414834	0.7745966692414834	sphere	Patterson MJ. Streptococcus. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 13. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7611/	0.24334672055841672	1.884955592153876
12	Burkholderia pseudomallei	3.1622776601683795	0.5656854249492381	rod	Haque, Q. M. Evaluation of Available Diagnostic Tests for Melioidosis. J. Taibah Univ. Med. Sci. 5, 89–97 (2010).	0.7473763099233324	5.619851784832582
13	Streptococcus agalactiae	0.4472135954999579	0.4472135954999579	sphere	de Aguiar, E. L., Mariano, D. C., Viana, M. V., Benevides, L., de Souza Rocha, F., de Castro Oliveira, L., Pereira, F. L., Dorella, F. A., Leal, C. A., de Carvalho, A. F., Santos, G. S., Mattos-Guaraldi, A. L., Nagao, P. E., de Castro Soares, S., Hassan, S. S., Pinto, A. C., Figueiredo, H. C., & Azevedo, V. (2016). Complete genome sequence of Streptococcus agalactiae strain GBS85147 serotype of type Ia isolated from human oropharynx. Standards in genomic sciences, 11, 39. https://doi.org/10.1186/s40793-016-0158-6	0.04683209820693817	0.6283185307179586
14	Serratia marcescens	1.3416407864998738	0.6324555320336759	rod	Lai, K. M., Burge, H. A., & First, M. W. (2004). Size and UV germicidal irradiation susceptibility of Serratia marcescens when aerosolized from different suspending media. Applied and environmental microbiology, 70(4), 2021–2027. https://doi.org/10.1128/AEM.70.4.2021-2027.2004	0.35525829542380294	2.66572976289502
15	Bacillus cereus	3.872983346207417	1.0	rod	Senesi, S., & Ghelardi, E. (2010). Production, secretion and biological activity of Bacillus cereus enterotoxins. Toxins, 2(7), 1690–1703. https://doi.org/10.3390/toxins2071690	2.7800346191810594	12.167336027920836
16	Bordetella pertussis	0.8	0.4	rod	Finger H, von Koenig CHW. Bordetella. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 31. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7813/	0.08377580409572784	1.0053096491487339
17	Clostridium botulinum	4.898979485566356	1.0392304845413265	rod	Boerema, J. A. & Broda, D. M. MICROBIOLOGICAL SAFETY OF MEAT | Clostridium botulinum. in (ed. Jensen, W. K. B. T.-E. of M. S.) 786–793 (Elsevier, 2004). doi:https://doi.org/10.1016/B0-12-464970-X/00053-2.	3.861625952718497	15.994378577370119
18	Neisseria gonorrhoeae	0.7745966692414834	0.7745966692414834	sphere	Morse SA. Neisseria, Moraxella, Kingella and Eikenella. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 14. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7650/	0.24334672055841672	1.884955592153876
19	Haemophilus influenzae	1.0	0.3	oval	Khattak ZE, Anjum F. Haemophilus Influenzae. [Updated 2021 Dec 8]. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan-. Available from: https://www.ncbi.nlm.nih.gov/books/NBK562176/	0.06361725123519331	0.9424777960769379
20	Bacillus thuringiensis	3.1622776601683795	0.7071067811865476	rod	Ibrahim, M. A., Griko, N., Junker, M., & Bulla, L. A. (2010). Bacillus thuringiensis: a genomics and proteomics perspective. Bioengineered bugs, 1(1), 31–50. https://doi.org/10.4161/bbug.1.1.10519	1.1492634720128805	7.024814731040727
21	Vibrio vulnificus	3.0	0.7	rod	Karunasagar, I. Bacteria: Vibrio vulnificus. in (ed. Motarjemi, Y. B. T.-E. of F. S.) 564–569 (Academic Press, 2014). doi:https://doi.org/10.1016/B978-0-12-378612-8.00119-0.	1.0647381101791404	6.5973445725385655
22	Lactiplantibacillus plantarum	4.898979485566356	1.0392304845413265	rod	Landete, J. M. et al. Chapter 43 - Degradation of Phenolic Compounds Found in Olive Products by Lactobacillus plantarum Strains. in (eds. Preedy, V. R. & Watson, R. R. B. T.-O. and O. O. in H. and D. P.) 387–396 (Academic Press, 2010). doi:https://doi.org/10.1016/B978-0-12-374420-3.00043-7.	3.861625952718497	15.994378577370119
23	Rhizobium leguminosarum	1.43	0.84	rod	Liang, J., Hoffrichter, A., Brachmann, A. et al. Complete genome of Rhizobium leguminosarum Norway, an ineffective Lotus micro-symbiont. Environmental Microbiome 13, 36 (2018). https://doi.org/10.1186/s40793-018-0336-9	0.6373034857072254	3.773681095492059
24	Pseudomonas syringae	1.5	0.916515138991168	rod	Arnold, D. L., & Preston, G. M. (2019). Pseudomonas syringae: enterprising epiphyte and stealthy parasite. Microbiology (Reading, England), 165(3), 251–253. https://doi.org/10.1099/mic.0.000715	0.788049479951691	4.318975841337722
25	Bacillus subtilis	3.4641016151377544	1.0	rod	Errington J, Aart LTV. Microbe Profile: Bacillus subtilis: model organism for cellular development, and industrial workhorse. Microbiology (Reading). 2020;166(5):425-427. doi:10.1099/mic.0.000922	2.458899658552177	10.882796185405306
26	Xanthomonas citri	1.7320508075688772	0.6123724356957945	rod	Ference, C. M., Gochez, A. M., Behlau, F., Wang, N., Graham, J. H., & Jones, J. B. (2018). Recent advances in the understanding of Xanthomonas citri ssp. citri pathogenesis and citrus canker disease management. Molecular plant pathology, 19(6), 1302–1318. https://doi.org/10.1111/mpp.12638	0.45001154790203624	3.332162203618774
27	Xanthomonas oryzae	1.1832159566199232	0.529150262212918	rod	NIÑO-LIU, D.O., RONALD, P.C. and BOGDANOVE, A.J. (2006), Xanthomonas oryzae pathovars: model pathogens of a model crop. Molecular Plant Pathology, 7: 303-324. https://doi.org/10.1111/j.1364-3703.2006.00344.x	0.22141403886860744	1.9669481246914031
28	Enterobacter cloacae	7.372923436466705	0.6	rod	Saleh, S. & Glick, B. Involvement of gacS and rpoS in enhancement of the plant growth-promoting capabilities of Enterobacter cloacae CAL2 and UW4. Can. J. Microbiol. 47, 698–705 (2001).	2.028096321548927	13.897633262090286
29	Bacillus velezensis	2.5	0.5	rod	Barberan A, Caceres Velazquez H, Jones S, Fierer N.: Hiding in Plain Sight: Mining Bacterial Species Records for Phenotypic Trait Information. mSphere 2: 2017 ( DOI 10.1128/mSphere.00237-17 , PubMed 28776041 ) - originally annotated from #27637 (see below)	0.45814892864851153	3.9269908169872414
30	Streptococcus mutans	0.6708203932499369	0.6708203932499369	sphere	Clarke, J. K. 1924. On the bacterial factor in the aetiology of dental caries. Br. J. Exp. Pathol. 5:141-147.	0.15805833144841633	1.413716694115407
31	Leptospira interrogans	12.649110640673518	0.1	spiral	Johnson RC. Leptospira. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 35. Available from: https://www.ncbi.nlm.nih.gov/books/NBK8451/	0.09908408327016187	3.9738353063184406
32	Bacillus anthracis	5.477225575051661	1.224744871391589	rod	Spencer R. C. (2003). Bacillus anthracis. Journal of clinical pathology, 56(3), 182–187. https://doi.org/10.1136/jcp.56.3.182	5.971748174427962	21.07444419312218
33	Pseudomonas stutzeri	1.7320508075688772	0.5	rod	Lalucat, J., Bennasar, A., Bosch, R., García-Valdés, E., & Palleroni, N. J. (2006). Biology of Pseudomonas stutzeri. Microbiology and molecular biology reviews : MMBR, 70(2), 510–547. https://doi.org/10.1128/MMBR.00047-05	0.3073624573190221	2.7206990463513265
34	Pasteurella multocida	0.8660254037844386	0.3535533905932738	oval	Orynbayev, M., Sultankulova, K., Sansyzbay, A. et al. Biological characterization of Pasteurella multocida present in the Saiga population. BMC Microbiol 19, 37 (2019). https://doi.org/10.1186/s12866-019-1407-9	0.0734518375470249	0.961912372621398
35	Bacteroides ovatus	2.8284271247461903	1.61245154965971	rod	Saitoh, S., Noda, S., Aiba, Y., Takagi, A., Sakamoto, M., Benno, Y., & Koga, Y. (2002). Bacteroides ovatus as the predominant commensal intestinal microbe causing a systemic antibody response in inflammatory bowel disease. Clinical and diagnostic laboratory immunology, 9(1), 54–59. https://doi.org/10.1128/cdli.9.1.54-59.2002	4.678186865358452	14.327866957180287
36	Ralstonia solanacearum	1.5	0.5	rod	Chen, K., Wang, L., Chen, H. et al. Complete genome sequence analysis of the peanut pathogen Ralstonia solanacearum strain Rs-P.362200. BMC Microbiol 21, 118 (2021). https://doi.org/10.1186/s12866-021-02157-7	0.2617993877991494	2.356194490192345
37	Treponema pallidum	10.954451150103322	0.1341640786499874	spiral	Ghanem, K. G. & Quinn, T. C. Sexually Transmitted Diseases☆. in (ed. Schmidt, T. M. B. T.-E. of M. (Fourth E.) 240–254 (Academic Press, 2019). doi:https://doi.org/10.1016/B978-0-12-801238-3.02419-3.	0.15423267133193422	4.617179388582711
38	Pseudomonas fluorescens	2.23606797749979	0.5	rod	Martínez-García, P. M., Ruano-Rosa, D., Schilirò, E., Prieto, P., Ramos, C., Rodríguez-Palenzuela, P., & Mercado-Blanco, J. (2015). Complete genome sequence of Pseudomonas fluorescens strain PICF7, an indigenous root endophyte from olive (Olea europaea L.) and effective biocontrol agent against Verticillium dahliae. Standards in genomic sciences, 10, 10. https://doi.org/10.1186/1944-3277-10-10	0.4063259972151518	3.5124073655203634
39	Campylobacter concisus	4.0	0.7071067811865476	spiral	Liu, F., Ma, R., Wang, Y., & Zhang, L. (2018). The Clinical Importance of Campylobacter concisus and Other Human Hosted Campylobacter Species. Frontiers in cellular and infection microbiology, 8, 243. https://doi.org/10.3389/fcimb.2018.00243	1.4782362655832644	8.885765876316732
40	Pelagibacter ubique	0.5738466694161429	0.15491933384829668	rod	Rappé, M., Connon, S., Vergin, K. et al. Cultivation of the ubiquitous SAR11 marine bacterioplankton clade. Nature 418, 630–633 (2002). https://doi.org/10.1038/nature00917	0.009843368003314684	0.2792874102115765
41	Mycoplasma genitalium	0.3	0.3	pear	Helle Friis Svenstrup, Jens Fedder, Joanna Abraham‐Peskir, Svend Birkelund, Gunna Christiansen, Mycoplasma genitalium attaches to human spermatozoa, Human Reproduction, Volume 18, Issue 10, October 2003, Pages 2103–2109, https://doi.org/10.1093/humrep/deg392	0.01413716694115407	0.2827433388230814
42	Mycoplasma gallisepticum	0.2	0.2	pear	Atalla, H., Lysnyansky, I., Raviv, Y., & Rottem, S. (2015). Mycoplasma gallisepticum inactivated by targeting the hydrophobic domain of the membrane preserves surface lipoproteins and induces a strong immune response. PloS one, 10(3), e0120462. https://doi.org/10.1371/journal.pone.0120462	0.004188790204786391	0.12566370614359174
43	Nanoarchaeum equitans	0.4	0.4	sphere	Fenchel, T., King, G. M., & Blackburn, T. H. (2012). Chapter 1 - Bacterial Metabolism (T. Fenchel, G. M. King, & T. H. B. T.-B. B. (Third E. Blackburn (eds.); pp. 1–34). Academic Press. https://doi.org/https://doi.org/10.1016/B978-0-12-415836-8.00001-3	0.03351032163829113	0.5026548245743669
44	Prochlorococcus	0.5916079783099616	0.5916079783099616	sphere	Partensky, F., Hess, W. R., & Vaulot, D. (1999). Prochlorococcus, a marine photosynthetic prokaryote of global significance. Microbiology and molecular biology reviews : MMBR, 63(1), 106–127.	0.10841782457704828	1.0995574287564276
45	Spirochaeta plicatilis	141.4213562373095	0.75	spiral	Schulz‐Vogt, H.N., Angert, E.R. and Garcia‐Pichel, F. (2007). Giant Bacteria. In eLS, (Ed.). doi:10.1002/9780470015902.a0020371	62.36759470112426	333.21622036187745
46	Cristispira anodontae	62.22539674441618	0.9797958971132712	spiral	Spirochaeta anodontae Keysselitz, Arb. a. d. kaiserl. Gesundheits- amte, 23, 1906, 566; Gross, Cent. f. Bakt., I Abt., Orig., 65, 1912, 900.	46.67059425956126	191.53721286313336
47	Cristispira pinnae	24.49489742783178	1.224744871391589	spiral	Spirochaete pinnae Gonder, Cent. f. Bakt., I Abt., Orig., 47, 1908, 491; Zuelzer, Verhandl. d. VIII Internat. Zool.- Kongres. zu Graz (August, 1910), Jena, 1912 (January), 433.	28.376414992331235	94.24777960769379
48	Treponema azotonutricium	10.954451150103322	0.2449489742783178	spiral	R., G. J., R., L. J., & A., B. J. (2004). Description of Treponema azotonutricium sp. nov. and Treponema primitia sp. nov., the First Spirochetes Isolated from Termite Guts. Applied and Environmental Microbiology, 70(3), 1315–1320. https://doi.org/10.1128/AEM.70.3.1315-1320.2004	0.5123686993686073	8.42977767724887
49	Treponema primitia	4.58257569495584	0.2	spiral	R., G. J., R., L. J., & A., B. J. (2004). Description of Treponema azotonutricium sp. nov. and Treponema primitia sp. nov., the First Spirochetes Isolated from Termite Guts. Applied and Environmental Microbiology, 70(3), 1315–1320. https://doi.org/10.1128/AEM.70.3.1315-1320.2004	0.1418714662755309	2.8793172275584813
50	Epulopiscium fishelsoni	244.94897427831782	54.772255750516614	rod	Mendell, J. (2008). Extreme polyploidy in a large bacterium. PNAS. 105 (18) 6730-6734; https://doi.org/10.1073/pnas.0707522105	534129.3945012479	42148.88838624436
51	Oscillatoria princeps	62.71363488110062	62.71363488110062	sphere/disc	Rani, V., Ulagalanthaperumal, E. P., & Sonaimuthu, P. (2016). Morphology and taxonomy of Oscillatoria princeps Vaucher ex gomont (OSCILLATORIALES, OSCILLATORIACEAE). Indian Journal of Education and Information Management, 5, 1–5.	129147.06532496896	12355.883906568657
52	Thiomargarita namibiensis	173.20508075688772	173.20508075688772	sphere	N., S. H., T., B., G., F. T., Hernández, M. M., A., T., & B., J. B. (1999). Dense Populations of a Giant Sulfur Bacterium in Namibian Shelf Sediments. Science, 284(5413), 493–495. https://doi.org/10.1126/science.284.5413.493	2720699.0463513266	94247.7796076938
53	Thiomargarita magnifica	9720.0	30.0	rod	https://doi.org/10.1101/2022.02.16.480423	6863594.549930301	916088.4177867837
